Title,Time (years),Yearly Wage (gp),Daily Wage (cp),Resources (gp),Skills,Leads
Armorer,10,80,210,80,"Appraisal, Armoury, Bartering, Engraving, Firebuilding, Hammer, Leatherworking, Logistics, Mending, Metallurgy, Smithing","Artillerist, Boatswain, Blacksmith, Master Craftsman, Forger, Merchant, Weaponsmith, Quartermaster, Ship Master"
Artificer,8,115,310,90,"Alchemy, Archaeology, Demonology, Enchanting, Engineering, Geometry, Gem Shaping, Invention, Metallurgy, Occultism, Read, Research, Write","Alchemist, Archeologist, Astronomer, Geometer, Guild Master, Inventor, Philosopher, Wizard of War, Scientist"
Artillerist,4,66,180,25,"Building, Carpentry, Firearms, Firebuilding, Fortifications, Geometry, Invention, Mathematics, Mending, Munitions, Siege, Surveying","Engineer, Master Craftsman, Mercenary, Midshipman, Sergeant, Ship Master, Veteran, Weaponsmith, Bachelor of Engineering"
Artisan,10,45,120,45,"Acting, Calligraphy, Etiquette, Illustration, Musical Composition, Musical Instrument, Painting, Persuasion, Poetry, Read, Sing, Write","Actor, Artist, Bard, Jester, Musician, Sculptor, Troubadour"
Artist,5,60,160,30,"Bargaining, Calligraphy, Geometry, Illustration, Painting, Persuasion, Symbology,","Bard, Composer, Musician, Master Artisan, Master Artisan, Sculptor, Senior Student, Sculptor"
Assassin,4,100,270,40,"Inconspicuous, Distillation, Disguise, Observation, Smithing, Sorcery, Signaling, Seamanship, Strategy, Sword, Bargaining, Politics, Ugly Truth, Poisons, Falsehood, Climbing, Knives, ","Spy, Thug, Bodyguard, Bounty Hunter, Pirate, Rogue Wizard, Guild Master, Zealot, Crusader, Sorcerer"
Astrologer,6,115,310,65,"Astrology, Astronomy, Aura Reading, Runic Charms, Geometry, Illustration, Meteorology, Observation, Occultism, Philosophy, Research","Court Astrologer, Master of Artifice, Master Magus, Hedge Wizard, Rogue Wizard, Oracle"
Astronomer,8,115,310,90,"Administration, Astronomy, Geometry, Instruction, Invention, Mathematics, Navigation, Observation, Philosophy, Physics, Read, Theology, Write","Cartographer, Geometer, Guild Master, Inventor, Navigator, Philosopher, Professor, Sage, Scientist"
Attorney,8,132,360,105,"Administration, Etiquette, Falsehood, History, Interrogation, Law, Logic, Oratory, Persuasion, Philosophy, Politics, Read, Research, Rhetoric, Write","Appraiser, Accountant, Bureaucrat, Chronicler, Legislator, Bailiff"
Augur,7,160,430,110,"Astrology, Bloodletting, Bribery, Bureaucracy, Church Law, Conspicuous, Faith, Folklore, Jargon, Meteorology, Oratory, Ritual, Ugly Truth","Bishop, Bloodletter, Diviner, Mystic, Shaman"
Bachelor of Artifice,4,20,50,5,"Astronomy, Geography, Geometry, History, Lecturing, Logic, Mathematics, Musical Composition, Musical Instrument, Painting, Philosophy, Physics, Read, Research, Rhetoric, Sing, Write, Illustration","Artisan, Chronicler, Craftsman, Insurrectionist, Master of Artifice, Researcher, Scholar, Troubadour, Bard"
Bachelor of Engineering,4,20,50,5,"Architectureure, Building, Distillation, Engineering, Geometry, Illustration, Invention, Lecturing, Logic, Mathematics, Physics, Read, Research, Write","Builder, Chronicler, Craftsman, Engineer, Inventor, Researcher, Scholar"
Bachelor of Law,4,20,50,5,"Administration, Etiquette, Falsehood, History, Interrogation, Law, Lecturing, Logic, Oratory, Persuasion, Philosophy, Politics, Read, Research, Rhetoric, Write","Attorney, Chronicler, Insurrectionist, Merchant, Researcher, Scholar, Bailiff"
Bachelor of Medicine,4,20,50,5,"Anatomy, Apothecary, Bloodletting, Field Dressing, Herbalism, Lecturing, Logic, Midwifery, Poisons, Read, Surgery, Ugly Truth, Write","Physician, Chronicler, Scholar, Researcher, Scholar, Surgeon"
Bailiff,5,48,130,20,"Command, Conspicuous, Crossbow, Cudgel, Extortion, Interrogation, Intimidation, Law, Riding, Shield, Wrestling","Constable, Herald, Highwayman, Sergeant, Veteran, Crossbowman, Cavalryman"
Baker,6,33,90,15,"Baking, Bargaining, Bartering, Cooking, Drinking, Firebuilding","Brewer, Butcher, Chef, Distiller, Grocer, Master Cook, Tradesman, Vintner"
Bandit,3,60,160,15,"Crossbow, Cudgel, Disguise, Falsehood, Firebuilding, Inconspicuous, Intimidation, Knives, Stealth","Blackmailer, Conscript, Fence, Fugitive, Highwayman, Prisoner"
Banker,3,250,680,75,"Accounting, Administration, Appraisal, Bargaining, Bribery, Diplomacy, Forgery, Intimidation, Law, Logistics, Metallurgy, Politics, Read, Smuggling, Write","Alderman, Bureaucrat, Burgomaster, Guild Master, Governor, Master Merchant, Merchant Adventurer"
Bannerman,3,75,200,20,"Armoury, Conspicuous, Crossbow, Grappling, Heraldry, Intimidation, Knives, Leadership, Mace, Polearm, Riding, Shield, Tactics, Wrestling","Crusader, Knight, Lieutenant, Man-at-Arms, Mercenary, Equestrian"
Barber,7,44,120,30,"Anatomy, Bloodletting, Drinking, Falsehood, Field Dressing, Knives, Surgery, Ugly Truth","Bloodletter, Doctor, Master Physician, Surgeon, Bachelor of Medicine"
Bard,4,54,140,20,"Astrology, Aura Reading, Composition, Folklore, Foreign Languages, Geography, Heraldry, History, Musical Composition, Musical Instrument, Oratory, Poetry, Seduction","Actor, Artist, Composer, Covenanter, Jester, Musician, Master Artisan, Merchant Adventurer, Wizard's Apprentice, Troubadour"
Barkeep,5,35,90,15,"Accounting, Bargaining,  Bartering, Brewing, Cooking, Drinking,Housekeeping, Management, Serving, Smuggling, Tasting","Brewer, Cook, Cottager, Distiller, Grocer, Hosteller, Journeyman, Ale Taster, Vintner"
Barmaid,6,40,100,20,"Bargaining, Bartering, Brewing, Cooking, Dance, Drinking, Housekeeping, Seduction, Serving, Sing, Sleight of Hand","Barkeep, Cook, Maid, Nun"
Baron,8,312,850,245,"Accounting, Administration, Bureaucracy, Command, Diplomacy, Falsehood, Geography, Heraldry, Intimidation, Law, Leadership, Logistics, Oratory, Poisons, Politics, Read, Strategy, Write","Archpriest, Commadore, Governor, Count, Duke, Major"
Bastard,5,40,100,20,"Brawling, Conspicuous, Dance, Etiquette, Extortion, Falsehood, History, Hunting, Read, Sleight of Hand, Ugly Truth, Write","Cultist, Deacon, Insurrectionist, Junior Magus, Assassin"
Beggar,5,10,20,5,"Aura Reading, Begging, Brawling, Conspicuous, Drinking, Falsehood, Foraging, Scavenging, Survival","Blackmailer, Peddler, Poacher, Thief, Indentured Soldier"
Bishop,8,150,410,120,"Administration, Church Law, Command, Diplomacy, Doctrine, Faith, History, Intimidation, Leadership, Management, Politics, Preaching, Read, Ritual, Write","Abbot, Apostate, Archbishop, Viscount, Cardinal"
Blackmailer,3,50,130,15,"Bargaining, Bartering, Camouflage, Counterfeiting, Disguise, Extortion, Falsehood, Forgery, Inconspicuous, Intimidation, Scavenging, Sleight of Hand","Fence, Highwayman, Smuggler, Assassin"
Blacksmith,5,60,160,30,"Appraisal, Armoury, Bargaining, Bartering, Crafting, Engraving, Hammer, Invention, Mending, Metallurgy, Smithing","Farrier, Engraver, Master Craftsman, Forger, Merchant, Tradesman, Weaponsmith"
Bloodletter,5,80,210,40,"Anatomy, Aura Reading, Bloodletting, Falsehood, Knives, Midwifery, Torture, Ugly Truth","Apothecary, Augur, Barber, Doctor, Necromancer, Surgeon, Meat Curer"
Boatswain,5,70,190,35,"Administration, Munitions, Carpentry, Cartography, Heraldry, Intimidation, Knives, Knots, Management, Rigging, Sailing, Seamanship, Shipwright","Midshipman, Navigator, Pilot, Ship Master, Signalman"
Bodyguard,4,90,240,35,"Bow, Boxing, Diplomacy, Etiquette, Field Dressing, Foreign Languages, Grappling, Intimidation, Leadership, Navigation, Observation, Riding, Shield, Stealth, Sword, Tactics, Wrestling","Captain, Mercenary, Bounty Hunter, Watchman, Thug, Spy, Guard, Bannerman, Assassin"
Born Clergy,10,25,60,25,"Administration, Ancient Languages, Astrology, Church Law, Counseling, Doctrine, Ethics, History, Liturgy, Memorization, Music Composition, Oratory, Persuasion, Philosophy, Prayer, Preaching, Ritual, Sing, Symbology, Theology","Acolyte, Apostate, Apprentice, Caretaker, Cultist, Deacon, Initiate, Junior Student, Missionary, Monk, Neophyte Magus, Nun, Pilgrim, Scribe, Zealot"
Born Merchant,10,25,60,25,"Accounting, Appraisal, Arithmetic, Bargaining, Commerce, Dance, Diplomacy, Economics, Etiquette, Foreign Language, Geography, Grappling, Heraldry, History, Law, Logic, Mathematics, Navigation, Oratory, Politics, Read, Riding, Sing, Wrestling, Write","Apiarist, Brewer, Bureaucrat, City Wife, Clother, Cook, Cottager, Digger, Dock Worker, Infantryman, Farmer, Farrier, Florist, Guard, Journeyman, Junior Student, Merchant, Nomadic Tradesman, Page, Pilgrim, Supplicant"
Born Noble,10,50,130,50,"Astronomy, Boxing, Dance, Diplomacy, Etiquette, Foreign Languages, Geography, Heraldry, History, Knives, Law, Leadership, Management, Mathematics, Musical Instrument, Philosophy, Politics, Read, Rhetoric, Riding, Sing, Strategy, Sword, Tactics, Write","Acolyte, Baron, Bastard, Bureaucrat, Convert, Courtier, Duke, Governess, Herald, Initiate, Junior Student, Lady, Lord, Neophyte Magus, Page, Prince, Princess, Ward, Young Lady"
Born Outcast,10,5,10,5,"Animal Handling, Bartering, Begging, Climbing, Cudgel, Disguise, Falsehood, Field Dressing, Foraging, Gambling, Grappling, Inconspicuous, Knives, Navigation, Observation, Pickpocket, Scavenging, Sewing, Sing, Stealth, Survival, Ugly Truth, Wrestling","Bandit, Beggar, Cripple, Cultist, Grave Robber, Insurrectionist, Leper, Pagan, Pickpocket, Pirate, Prisoner, Prostitute, Rat Catcher, Servant, Slave, Supplicant, Thug, Tribesman, Eunuch"
Born Peasant,10,10,20,10,"Animal Handling, Axe, Bartering, Brawling, Child-Rearing, Cleaning, Climbing, Cooking, Dance, Etiquette, Farming, Firebuilding, Fishing, Folklore, Foraging, Herbalism, Herding, Knives, Observation, Serving, Sing, Spear, Staff, Swimming, Ugly Truth, Weaving","Apprentice, Conscript, Country Wife, Dikeman, Farmhand, Fisher, Grave Digger, Labourer, Miner, Rat Catcher, Seaman, Shearer, Supplicant, Woodsman, Beggar, Cook, Courier, Criminal, Dock Worker"
Bounty Hunter,4,100,270,40,"Appraisal, Bargaining, Bow, Camouflage, Climbing, Disguise, Falconry, Field Dressing, Foreign Languages, Grappling, Herbalism, Interrogation, Investigation, Knives, Knots, Law, Navigation, Poisons, Riding, Scavenging, Survival, Sword, Tactics, Tracking, Wrestling","Bodyguard, Constable, Captain, Inquisitor, Mercenary, Ranger, Man-at-Arms, Attorney, Assassin"
Bowyer,6,40,100,20,"Bargaining, Bow, Carpentry, Crossbow, Fletching, Knots, Leatherworking, Smithing","Archer, Falconer, Ropemaker, Tailor, Weaponsmith, Master Craftsman, Crossbowman"
Brewer,8,44,120,35,"Apothecary, Bargaining, Brewing, Cooking, Drinking, Milling, Preservation, Tasting","Ale Taster, Baker, Barkeep, Butcher, Chef, Distiller, Grocer, Master Cook, Tradesman, Vintner, Barmaid"
Builder,6,45,120,25,"Architecture, Building, Carpentry, Digging, Hammer, Hauling, Mason, Rigging, Surveying","Architect, Builder, Mason, Master Builder, Plumber, Shipwright, Surveyor, Bachelor of Engineering, Sculptor"
Bureaucrat,7,115,310,80,"Accounting, Administration, Appraisal, Bargaining, Bureaucracy, Falsehood, Politics, Read, Write","Ambassador, Burgomaster, Judge, Knight, Legislator, Prison Warden, Steward"
Burgomaster,8,500,1360,400,"Accounting, Administration, Bureaucracy, Command, Diplomacy, Fortifications, History, Intimidation, Law, Leadership, Logistics, Management, Politics, Read, Surveying, Write","Ambassador, Baron, Chancellor, Governor, Guild Master, Judge, Viscount"
Butcher,5,36,90,15,"Anatomy, Animal Handling, Bargaining, Bartering, Butchery, Cooking, Knives, Leatherworking, Preservation, Ugly Truth","Baker, Brewer, Chef, Distiller, Grocer, Leatherworker, Master Cook, Tradesman, Vintner, Meat Curer"
Captain,6,80,210,45,"Campaigning, Command, Crossbow, Formation Fighting, Fortifications, Grappling, Knives, Leadership, Logistics, Mace, Marching, Polearm, Riding, Shield, Siege, Strategy, Sword, Tactics, Wrestling","Bannerman, Commander, Lord, Major, Ship Captain, Bailiff"
Caravan Master,6,250,680,150,"Bargaining, Cartography, Engineering, Gambling, Logistics, Persuasion, Navigation, Riding, Bargaining, Leadership","Merchant Adventurer, Alderman, Governor, Courtier, Guild Master, Diplomat, count, Burgomaster, Master Merchant, Vizier"
Cardinal,8,250,680,200,"Administration, Bureaucracy, Church Law, Command, Doctrine, Faith, Management, Oratory, Philosophy, Preaching, Ritual, Rhetoric, Theology, Tasting","Abbot, Archbishop, Diviner, Pope"
Caretaker,6,35,90,20,"Archaeology, Church Law, Demonology, Digging, Doctrine, Hauling, Housekeeping, Ritual, Symbology","Apiarist, Groom, Archeologist, Houndmaster, Falconer, Dikeman"
Carpenter,4,57,150,20,"Appraisal, Bargaining Building, Carpentry, Carving, Engraving, Hammer, Hauling, Logging, Mending","Architect, Caulker, Dock Master, Housewright, Master Craftsman, Ship Master, Shipwright, Sculptor"
Cartographer,6,64,170,35,"Bargaining, Calligraphy, Cartography, Geography, Geometry, History, Illustration, Leatherworking, Navigation, Observation, Orienteering, Read, Research, Surveying, Write","Colonist, Merchant Adventurer, Navigator, Scholar, Surveyor, Tradesman"
Caulker,5,40,100,20,"Building, Carpentry, Mending, Seamanship, Shipwright, Ugly Truth","Carpenter, Dock Master, Housewright, Master Craftsman, Shipwright, Ship Master"
Cavalryman,4,60,160,20,"Animal Handling, Bow, Campaigning, Lance, Leatherworking, Formation Fighting, Knives, Observation, Riding, Shield, Tactics","Master Caretaker, Mercenary, Ranger, Sergeant, Veteran, Farrier, Shepherd, Swineherd, Horse Archer"
Censor,4,250,680,100,"Doctrine, Inconspicuous, Law, Persuasion, Politics, Research, Ugly Truth, Composition, Rhetoric, Diplomacy, Logic, Leadership, Administration, Etiquette","Diplomat, Chancellor, Judge, Governor, Legislator, Consul, Senator, Inquisitor, Commander, Magistrate, Archpriest, Senior Magus, Sage"
Chamberlain,7,100,270,70,"Accounting, Administration, Church Law, Estate Management, Heraldry, Housekeeping, Law, Logistics, Management, Read, Ritual, Theology, Write","Alderman, Banker, Bishop, Guild Master, Master Merchant"
Chancellor,8,300,820,240,"Administration, Bureaucracy, Command, Diplomacy, Foreign Languages, Heraldry, History, Intimidation, Law, Leadership, Management, Oratory, Politics, Read, Rhetoric, Strategy, Write","Banker, Burgomaster, Emperor, Governor, Judge, Legislator, King, Queen"
Chaplain,5,55,150,25,"Aura Reading, Church Law, Demonology, Diplomacy, Doctrine, Drinking, Faith, Folklore, Meditation, Persuasion, Ritual, Theology","Crusader, Infantryman, Exorcist, Priest, Scholar, Ship Mate"
Cheesemonger,4,40,100,15,"Animal Handling, Bargaining, Bartering, Cooking, Farming, Falsehood, Herbalism, Smuggling, Tasting","Chef, Cottager, Dairyman, Farmer, Grocer, Hosteller, Meat Curer"
Chef,5,70,190,35,"Baking, Bargaining, Butchery, Cooking, Drinking, Falsehood, Fishing, Gardening, Herbalism, Knives, Poisons, Serving, Tasting","Baker, Brewer, Butcher, Distiller, Grocer, Master Cook, Tradesman, Vintner, Vintner"
Chieftain,10,30,80,30,"Command, Diplomacy, Field Dressing, Leadership, Logistics, Aura Reading, Campaigning, Animal Handling, Fortifications, Persuasion, Riding, Strategy, Sword","Nomadic Tradesman, Nomad, Cult Leader, Merchant, Explorer, Man-at-Arms, Fertility Priestess, Sage, Speaker of Names, Warlock, Yeoman, Shaman"
Chronicler,9,40,100,35,"Ancient Languages, Calligraphy, Cartography, Church Law, Demonology, Diplomacy, Doctrine, Foreign Languages, Geography, Heraldry, Read, Write","Archpriest, Bachelor of Law, Inquisitor, Master of Artifice, Notary, Researcher, Scholar"
City Wife,8,40,100,30,"Accounting, Administration, Child-Rearing, Cleaning, Cooking, Dance, Embroidery, Folklore, Bartering, Housekeeping, Nursing, Seduction","Courtier, Craftsman, Midwife, Nun, Nurse, Young Lady"
Civil Engineer,8,115,310,90,"Architecture, Building, Carpentry, Digging, Engineering, Fortifications, Geography, Mason, Mathematics, Physics, Rigging, Surveying","Inventor, Guild Master, Master Builder, Master Craftsman, Surveyor, Mechanical Engineer, Plumber"
Clerk,4,40,100,15,"Accounting, Administration, Bureaucracy, Falsehood, Forgery, Mathematics, Read, Write","Bachelor of Law, Bureaucrat, Courier, Chronicler, Merchant, Scribe, Tax Collector, Senior Student"
Clother,5,30,80,15,"Appraisal, Bartering, Disguise, Dyeing, Embroidery, Knots, Mending, Sewing, Weaving","Artisan, Dyer, Haberdasher, Tailor"
Cobbler,7,30,80,20,"Bargaining, Bartering, Cobbling, Dyeing, Embroidery, Knots, Leatherworking, Marching, Mending, Sewing","Draper, Dyer, Leatherworker, Tailor, Haberdasher, Weaver, Master Craftsman, Tradesman"
Coin Minter,6,80,210,45,"Accounting, Appraisal, Counterfeiting, Engraving, Falsehood, Hammer, Metallurgy, Smuggling, Symbology","Artificer, Banker, Bureaucrat, Jeweler, Master Merchant"
Colonel,6,150,410,90,"Administration, Campaigning, Command, Formation Fighting, Fortifications, Grappling, Knives, Lance, Leadership, Logistics, Marching, Riding, Shield, Siege, Strategy, Sword, Tactics, Wrestling","Burgomaster, Count, General"
Colonist,5,40,100,20,"Accounting, Animal Handling, Appraisal, Bargaining, Bartering, Building, Carpentry, Cartography, Farming, Hammer, Mending, Observation, Smuggling, Spear, Surveying","Cartographer, Cottager, Farmer, Guard, Journeyman, Merchant, Monk, Miner, Nun, Sailor, Smuggler, Shepherd, Swineherd"
Commander,6,140,380,80,"Administration, Campaigning, Cartography, Command, Drinking, Firearms, Heraldry, Leadership, Management, Munitions, Navigation, Observation, Piloting, Sailing, Seamanship, Signaling, Sword, Tactics","Bureaucrat, Ship Captain, Ship Master, Commodore"
Commodore,8,150,410,120,"Administration, Campaigning, Cartography, Command, Diplomacy, Drinking, Heraldry, Intimidation, Leadership, Management, Munitions, Navigation, Observation, Politics, Sailing, Seamanship, Signaling, Strategy, Sword","Admiral, Baron, Burgomaster, Major, Viscount"
Composer,5,60,160,30,"Dance, Drinking, Etiquette, Folklore, Gambling, Musical Composition, Musical Instrument, Persuasion, Sing, Symbology, Ugly Truth","Actor, Artist, Bard, Musician, Master Artisan, Troubadour"
Concubine,4,60,160,20,"Aura Reading, Bargaining, Dance, Diplomacy, Etiquette, Falsehood, History, Music Composition, Persuasion, Politics, Seduction, Sing, Ugly Truth","Courtier, Lady, Spy, Diplomat, Mystic, Princess, Oracle, Assassin"
Conscript,2,20,50,0,"Brawling, Cooking, Digging, Firebuilding, Foraging, Formation Fighting, Hauling, Marching, Shield, Spear","Infantryman, Guard, ship Mate, Thug"
Constable,5,45,120,20,"Administration, Armoury, Command, Conspicuous, Crossbow, Extortion, Gambling, Interrogation, Intimidation, Law, Mace, Observation, Polearm, Smuggling, Tracking, Wrestling","Bureaucrat, Prison Warden, Lieutenant, Mercenary, Quartermaster, Squire, Bailiff, Crossbowman"
Consul,2,300,820,60,"Administration, Ancient Languages, Campaigning, Command, Doctrine, Etiquette, History, Leadership, Logic, Logistics, Mathematics, Oratory, Persuasion, Politics, Riding, Strategy, Sword, Tactics, Theology, Write","Governor, Senator, Diplomat, General, Ambassador, Magistrate, Censor, Judge, Chancellor, Bureaucrat"
Convert,3,15,40,0,"Astrology, Aura Reading, Begging, Church Law, Dance, Doctrine, Faith, Folklore, Foreign Languages, Meditation, Serving, Sing, Staff","Evangelist, Monk, Nun, Pagan, Pilgrim"
Cook,3,30,80,5,"Anatomy, Baking, Bargaining, Brewing, Cooking, Gardening, Herbalism, Knives, Tasting, Serving","Baker, Brewer, Butcher, Chef, Distiller, Sailor, Vintner, Vintner, Barmaid, Meat Curer"
Cottager,5,40,100,20,"Appraisal, Bargaining, Building, Carpentry, Carving, Cobbling, Invention, Mending, Sewing, Smithing, Weaving","Barkeep, Craftsman, Farmer, Haberdasher, Journeyman, Weaver, Apiarist, Meat Curer"
Count,10,625,1710,625,"Accounting, Administration, Bureaucracy, Command, Diplomacy, Falsehood, Geography, Heraldry, Intimidation, Law, Leadership, Logistics, Oratory, Poisons, Politics, Read, Strategy, Write","Admiral, Bishop, Burgomaster, Colonel, Duke"
Country Wife,12,20,50,20,"Animal Handling, Aura Reading, Bartering, Child-Rearing, Cleaning, Cooking, Dance, Embroidery, Farming, Firebuilding, Folklore, Foraging, Housekeeping, Persuasion, Seduction, Sewing","Cook, Cottager, City Wife, Midwife, Nun, Nurse, Farrier, Shepherd, Swineherd"
Courier,4,45,120,15,"Campaigning, Cryptography, Diplomacy, Disguise, Falsehood, Foreign Languages, Geography, Heraldry, Knives, Navigation, Orienteering, Riding","Clerk, Herald, Notary, Scout, Smuggler, Spy, Surveyor, Equestrian, Cavalryman"
Court Astrologer,6,150,410,90,"Astrology, Astronomy, Aura Reading, Diplomacy, Foreign Languages, Heraldry, Intimidation, Persuasion, Politics, Read, Staff, Strategy, Summoning, Write, Runic Charms, Geometry, Meteorology, Observation, Occultism, Philosophy","Artificer, Demonologist, Master Magus, Rogue Wizard, Spellsword, Spy Master, Wizard of War, Scientist"
Court Wizard,6,150,410,90,"Alchemy, Demonology, Diplomacy, Enchanting, Foreign Languages, Heraldry, Intimidation, Persuasion, Politics, Read, Sorcery, Staff, Strategy, Summoning, Write","Artificer, Demonologist, Master Magus, Rogue Wizard, Spellsword, Spy Master, Wizard of War, Sorcerer, Scientist"
Courtier,5,50,130,25,"Acting, Conspicuous, Dance, Diplomacy, Disguise, Etiquette, Falsehood, Heraldry, Musical Instrument, Painting, Persuasion, Poisons, Seduction, Sing","Artisan, Lady, Merchant, Princess, Spy, Troubadour, Assassin"
Covenanter,5,20,50,10,"Ancient Languages, Apothecary, Astrology, Bloodletting, Dance, Demonology, Herbalism, Heretical Doctrine, Knives, Occultism, Poisons, Spirit Binding, Ugly Truth","Cultist, Heretic, Warlock, Witch, Wizard's Apprentice"
Cowherd,4,45,120,15,"Animal Handling, Driving, Farming, Firebuilding, Folklore, Grappling, Herding, Knots, Observation, Orienteering, Riding, Rigging, Sing, Wrestling","Dairyman, Cheesemonger, Curer, Meatmonger, Rancher, Equestrian, Farrier, Shepherd, Swineherd"
Craftsman,6,45,120,25,"Appraisal, Bargaining, Building, Carpentry, Carving, Cobbling, Dyeing, Engraving, Hammer, Invention, Knives, Knots, Leatherworking, Mending, Sewing, Smithing, Tanning, Weaving","Carpenter, Caulker, Cobbler, Draper, Dyer, Engraver, Leatherworker, Ropemaker, Sailmaker, Tailor, Haberdasher, bowyer, Luthier, Weaver, Farrier"
Criminal,3,40,100,10,"Brawling, Climbing, Counterfeiting, Cudgel, Drinking, Extortion, Falsehood, Forgery, Gambling, Inconspicuous, Intimidation, Knives, Pickpocket, Sleight of Hand","Bandit, Blackmailer, Peddler, Pirate, Poacher, Thief, Thug, Whoremonger"
